timestamp,total_ema_risk,fft_high_freq_mean,jawline_edge_variance,jawline_roi_area,landmark_lost_count
21:19:48,0.024,71.358582,18182.324065,2156,0
21:19:50,0.0432,65.525391,8369.759482,2276,0
21:19:52,0.05504,65.054176,9052.144114,2167,0
21:19:53,0.063015,65.148079,8236.882295,2166,0
21:19:54,0.069525,64.834335,7347.876475,2109,0
21:19:55,0.074786,65.752106,8943.18681,2068,0
21:19:57,0.079184,66.091438,9440.110744,2088,0
21:19:58,0.082949,65.701744,9218.878376,2124,0
21:19:59,0.086233,65.357483,10541.875751,2178,0
21:20:01,0.08914,64.921432,12115.765151,2235,0
21:20:02,0.091742,65.894089,7420.3604,2210,0
21:20:03,0.094096,66.17395,7525.182276,2202,0
21:20:05,0.096241,66.262314,8624.424552,2222,0
21:20:06,0.09821,66.097,9231.844219,2113,0
21:20:08,0.099411,65.853592,8803.031888,2037,0
21:20:09,0.101104,66.038628,9460.71964,1996,0
21:20:10,0.102459,65.659149,9846.589511,1904,0
21:20:12,0.103938,65.963898,10959.949387,1846,0
21:20:13,0.104903,65.968994,11747.875037,1844,0
21:20:15,0.106217,65.606651,10407.875919,1870,0
21:20:16,0.107458,65.797951,10052.592124,1935,0
21:20:17,0.108381,65.710159,10186.94442,1916,0
21:20:19,0.1095,66.250175,9840.846409,1944,0
21:20:21,0.110566,65.804276,10152.65644,1918,0
21:20:22,0.111583,66.163757,10083.239762,1897,0
21:20:23,0.11205,66.02002,11006.64852,1886,0
21:20:25,0.112983,66.041954,10615.698685,1898,0
21:20:26,0.113878,66.320335,10440.108276,1963,0
21:20:27,0.114964,66.386452,10159.591551,1964,0
21:20:28,0.118534,66.479332,9933.045972,1969,0
21:20:29,0.121114,66.249504,10016.312938,1962,0
21:20:30,0.123322,66.026215,11934.502153,1833,0
21:20:32,0.125318,66.513542,11760.986945,1953,0
21:20:34,0.127083,65.901276,10027.774278,1946,0
21:20:36,0.128714,65.906761,10984.396626,1933,0
21:20:37,0.130242,65.951004,10827.132618,1909,0
21:20:39,0.131345,66.119202,10205.737607,1940,0
21:20:40,0.132148,65.957466,10401.899881,1912,0
21:20:42,0.133176,66.174095,11374.52202,1938,0
21:20:43,0.134424,65.9506,11828.110395,1899,0
21:20:45,0.135633,65.99131,11246.831134,2011,0
21:20:46,0.13681,66.160217,12233.706902,1903,0
21:20:48,0.13796,65.781342,12284.417542,1869,0
21:20:49,0.139394,66.048309,10060.388017,1967,0
21:20:51,0.140337,65.829887,10666.637757,1882,0
21:20:52,0.140976,65.817429,9578.286201,1881,0
21:20:53,0.141745,65.614372,10131.960872,1892,0
21:20:55,0.142807,65.878944,10468.984317,1896,0
21:20:56,0.143881,65.65181,10112.18443,1908,0
21:20:57,0.144773,65.85022,9923.11683,1884,0
21:20:59,0.146016,65.875671,11158.583772,1878,0
21:21:00,0.146751,65.998383,10960.425251,1879,0
21:21:02,0.147688,66.200027,10655.758774,1858,0
21:21:03,0.148719,66.027664,11291.583929,1876,0
21:21:05,0.150208,65.773865,10524.935517,1819,0
21:21:06,0.151289,65.320305,10043.911137,1911,0
21:21:08,0.150975,65.320305,10043.911137,1911,1
21:21:09,0.151426,65.573814,11965.279847,1832,0
21:21:10,0.153065,66.147957,10730.834899,1912,0
21:21:12,0.154267,65.717819,11973.631954,1944,0
21:21:13,0.154869,65.67379,11021.101291,1917,0
21:21:14,0.155825,65.229347,10120.870353,1874,0
21:21:16,0.156746,65.652374,8705.482612,2005,0
21:21:17,0.157637,66.004883,11470.78227,1995,0
21:21:18,0.158502,65.481499,9868.621909,1891,0
21:21:20,0.159346,65.604279,10881.457064,1862,0
21:21:21,0.160515,65.785881,11561.321487,1881,0
21:21:23,0.161817,65.703438,11026.350861,1881,0
21:21:24,0.16266,65.653229,11060.845416,1905,0
21:21:25,0.163495,65.652443,10921.420821,1891,0
21:21:27,0.164031,65.589211,10528.677778,1874,0
21:21:28,0.164563,65.595604,10423.419283,1928,0
21:21:29,0.165349,65.817848,11709.751773,1872,0
21:21:31,0.166125,65.948334,11896.781011,1866,0
21:21:32,0.167072,65.924088,11483.773444,1910,0
21:21:34,0.168429,66.155991,15242.923424,1888,0
21:21:35,0.169529,65.757515,11265.909755,1889,0
21:21:36,0.170501,65.5905,11713.67629,1848,0
21:21:38,0.170774,65.835999,10981.248833,1868,0
21:21:39,0.171234,66.026779,11120.479495,1876,0
